Index,Cluster,Sub-cluster,Label
0.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
1.0,2,2_1,Positive_Exponential_Growth
2.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
3.0,2,2_1,Positive_Exponential_Growth
4.0,Cyclic,Cyclic_Down-Trend_Dampening,Oscillation
5.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
6.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
7.0,Growth&Decline,Growth&Decline_1,Growth&Decline
8.0,Linear,Linear_0,Linear_Growth
9.0,Cyclic,Cyclic_Down-Trend_Diverging,Oscillation
10.0,2,2_0,Positive_Exponential_Growth
11.0,Growth&Decline,Growth&Decline_0,Growth&Decline
12.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
13.0,Growth&Decline,Growth&Decline_0,Growth&Decline
14.0,Growth&Decline,Growth&Decline_1,Growth&Decline
15.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
16.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
17.0,3,3_0,S-shape_Growth
18.0,Cyclic,Cyclic_Up-Trend_Diverging,Oscillation
19.0,Cyclic,Cyclic_Down-Trend_Stable,Oscillation
20.0,Cyclic,Cyclic_Down-Trend_Stable,Oscillation
21.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
22.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
23.0,Cyclic,Cyclic_Down-Trend_Indeterminate,Oscillation
24.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
25.0,Linear,Linear_0,Linear_Growth
26.0,Cyclic,Cyclic_Up-Trend_Diverging,Oscillation
27.0,2,2_0,Positive_Exponential_Growth
28.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
29.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
30.0,3,3_0,S-shape_Growth
31.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
32.0,3,3_1,Negative_Exponential_Growth
33.0,Cyclic,Cyclic_Up-Trend_Indeterminate,Oscillation
34.0,Linear,Linear_1,Linear_Growth
35.0,Growth&Decline,Growth&Decline_0,Growth&Decline
36.0,Cyclic,Cyclic_Down-Trend_Stable,Oscillation
37.0,3,3_1,Negative_Exponential_Growth
38.0,Cyclic,Cyclic_No-Trend_Indeterminate,Oscillation
39.0,Cyclic,Cyclic_Up-Trend_Indeterminate,Oscillation
40.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
41.0,1,1_1,Negative_Exponential_Growth
42.0,Linear,Linear_0,Linear_Growth
43.0,Growth&Decline,Growth&Decline_0,Growth&Decline
44.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
45.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
46.0,Linear,Linear_0,Linear_Growth
47.0,3,3_1,S-shape_Growth
48.0,Growth&Decline,Growth&Decline_1,Growth&Decline
49.0,Growth&Decline,Growth&Decline_0,Growth&Decline
50.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
51.0,2,2_0,Positive_Exponential_Growth
52.0,Cyclic,Cyclic_Up-Trend_Diverging,Oscillation
53.0,Cyclic,Cyclic_Down-Trend_Dampening,Oscillation
54.0,Growth&Decline,Growth&Decline_0,Growth&Decline
55.0,Growth&Decline,Growth&Decline_0,Growth&Decline
56.0,3,3_0,S-shape_Growth
57.0,Growth&Decline,Growth&Decline_1,Growth&Decline
58.0,3,3_1,S-shape_Growth
59.0,Cyclic,Cyclic_Down-Trend_Diverging,Oscillation
60.0,Growth&Decline,Growth&Decline_0,Growth&Decline
61.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
62.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
63.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
64.0,2,2_0,Positive_Exponential_Growth
65.0,Linear,Linear_0,Linear_Growth
66.0,Growth&Decline,Growth&Decline_1,Growth&Decline
67.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
68.0,Growth&Decline,Growth&Decline_0,Growth&Decline
69.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
70.0,3,3_0,S-shape_Growth
71.0,Cyclic,Cyclic_Up-Trend_Stable,Oscillation
72.0,2,2_0,Positive_Exponential_Growth
73.0,Cyclic,Cyclic_Up-Trend_Stable,Oscillation
74.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
75.0,3,3_0,S-shape_Growth
76.0,Growth&Decline,Growth&Decline_1,Growth&Decline
77.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
78.0,Cyclic,Cyclic_Up-Trend_Indeterminate,Oscillation
79.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
80.0,2,2_0,Positive_Exponential_Growth
81.0,Linear,Linear_0,Linear_Growth
82.0,1,1_1,Negative_Exponential_Growth
83.0,Growth&Decline,Growth&Decline_1,Growth&Decline
84.0,Growth&Decline,Growth&Decline_0,Growth&Decline
85.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
86.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
87.0,Linear,Linear_1,Linear_Growth
88.0,2,2_1,Positive_Exponential_Growth
89.0,Growth&Decline,Growth&Decline_1,Growth&Decline
90.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
91.0,Linear,Linear_1,Linear_Growth
92.0,3,3_1,S-shape_Growth
93.0,Growth&Decline,Growth&Decline_0,Growth&Decline
94.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
95.0,3,3_1,S-shape_Growth
96.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
97.0,Cyclic,Cyclic_Down-Trend_Dampening,Oscillation
98.0,Growth&Decline,Growth&Decline_0,Growth&Decline
99.0,Growth&Decline,Growth&Decline_0,Growth&Decline
100.0,2,2_1,Positive_Exponential_Growth
101.0,Growth&Decline,Growth&Decline_1,Growth&Decline
102.0,Cyclic,Cyclic_Up-Trend_Dampening,Oscillation
103.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
104.0,2,2_0,Positive_Exponential_Growth
105.0,2,2_0,Positive_Exponential_Growth
106.0,Growth&Decline,Growth&Decline_0,Growth&Decline
107.0,Linear,Linear_1,Linear_Growth
108.0,Growth&Decline,Growth&Decline_0,Growth&Decline
109.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
110.0,Cyclic,Cyclic_Up-Trend_Stable,Oscillation
111.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
112.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
113.0,Cyclic,Cyclic_Up-Trend_Dampening,Oscillation
114.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
115.0,2,2_0,Positive_Exponential_Growth
116.0,Growth&Decline,Growth&Decline_1,Growth&Decline
117.0,3,3_1,S-shape_Growth
118.0,Cyclic,Cyclic_Up-Trend_Indeterminate,Oscillation
119.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
120.0,Linear,Linear_0,Linear_Growth
121.0,2,2_1,Positive_Exponential_Growth
122.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
123.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
124.0,Growth&Decline,Growth&Decline_0,Growth&Decline
125.0,Growth&Decline,Growth&Decline_0,Growth&Decline
126.0,2,2_1,Positive_Exponential_Growth
127.0,Growth&Decline,Growth&Decline_1,Growth&Decline
128.0,3,3_0,S-shape_Growth
129.0,2,2_1,Positive_Exponential_Growth
130.0,Growth&Decline,Growth&Decline_1,Growth&Decline
131.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
132.0,1,1_0,Negative_Exponential_Growth
133.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
134.0,Linear,Linear_1,Linear_Growth
135.0,2,2_0,Positive_Exponential_Growth
136.0,1,1_1,Negative_Exponential_Growth
137.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
138.0,Cyclic,Cyclic_Up-Trend_Diverging,Oscillation
139.0,Cyclic,Cyclic_Up-Trend_Stable,Oscillation
140.0,3,3_0,Negative_Exponential_Growth
141.0,Growth&Decline,Growth&Decline_1,Growth&Decline
142.0,Growth&Decline,Growth&Decline_0,Growth&Decline
143.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
144.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
145.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
146.0,3,3_1,S-shape_Growth
147.0,2,2_0,Positive_Exponential_Growth
148.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
149.0,Cyclic,Cyclic_No-Trend_Indeterminate,Oscillation
150.0,Growth&Decline,Growth&Decline_0,Growth&Decline
151.0,Growth&Decline,Growth&Decline_0,Growth&Decline
152.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
153.0,2,2_1,Positive_Exponential_Growth
154.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
155.0,Cyclic,Cyclic_Down-Trend_Stable,Oscillation
156.0,Cyclic,Cyclic_No-Trend_Indeterminate,Oscillation
157.0,Growth&Decline,Growth&Decline_0,Growth&Decline
158.0,3,3_0,S-shape_Growth
159.0,Growth&Decline,Growth&Decline_1,Growth&Decline
160.0,Growth&Decline,Growth&Decline_0,Growth&Decline
161.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
162.0,Growth&Decline,Growth&Decline_1,Growth&Decline
163.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
164.0,1,1_1,Negative_Exponential_Growth
165.0,3,3_1,S-shape_Growth
166.0,Linear,Linear_1,Linear_Growth
167.0,Growth&Decline,Growth&Decline_1,Growth&Decline
168.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
169.0,2,2_0,Positive_Exponential_Growth
170.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
171.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
172.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
173.0,Growth&Decline,Growth&Decline_0,Growth&Decline
174.0,Growth&Decline,Growth&Decline_1,Growth&Decline
175.0,3,3_0,S-shape_Growth
176.0,3,3_0,Negative_Exponential_Growth
177.0,Growth&Decline,Growth&Decline_0,Growth&Decline
178.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
179.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
180.0,Cyclic,Cyclic_Down-Trend_Stable,Oscillation
181.0,Cyclic,Cyclic_Down-Trend_Dampening,Oscillation
182.0,Cyclic,Cyclic_Down-Trend_Indeterminate,Oscillation
183.0,Linear,Linear_0,Linear_Growth
184.0,3,3_1,S-shape_Growth
185.0,Growth&Decline,Growth&Decline_1,Growth&Decline
186.0,Cyclic,Cyclic_Up-Trend_Stable,Oscillation
187.0,Growth&Decline,Growth&Decline_0,Growth&Decline
188.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
189.0,1,1_0,Negative_Exponential_Growth
190.0,Cyclic,Cyclic_Up-Trend_Dampening,Oscillation
191.0,Growth&Decline,Growth&Decline_0,Growth&Decline
192.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
193.0,Growth&Decline,Growth&Decline_1,Growth&Decline
194.0,Linear,Linear_1,Linear_Growth
195.0,Growth&Decline,Growth&Decline_1,Growth&Decline
196.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
197.0,Cyclic,Cyclic_Down-Trend_Stable,Oscillation
198.0,Cyclic,Cyclic_No-Trend_Indeterminate,Oscillation
199.0,3,3_0,S-shape_Growth
200.0,Cyclic,Cyclic_Down-Trend_Stable,Oscillation
201.0,3,3_0,Negative_Exponential_Growth
202.0,Growth&Decline,Growth&Decline_1,Growth&Decline
203.0,Linear,Linear_1,Linear_Growth
204.0,Cyclic,Cyclic_Up-Trend_Stable,Oscillation
205.0,Linear,Linear_0,Linear_Growth
206.0,Growth&Decline,Growth&Decline_0,Growth&Decline
207.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
208.0,3,3_0,Negative_Exponential_Growth
209.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
210.0,2,2_0,S-shape_Growth
211.0,2,2_0,Positive_Exponential_Growth
212.0,Cyclic,Cyclic_No-Trend_Stable,Oscillation
213.0,Cyclic,Cyclic_Up-Trend_Dampening,Oscillation
214.0,Cyclic,Cyclic_Down-Trend_Dampening,Oscillation
215.0,Growth&Decline,Growth&Decline_0,Growth&Decline
216.0,2,2_0,Positive_Exponential_Growth
217.0,Growth&Decline,Growth&Decline_0,Growth&Decline
218.0,Growth&Decline,Growth&Decline_1,Growth&Decline
219.0,Growth&Decline,Growth&Decline_0,Growth&Decline
220.0,Growth&Decline,Growth&Decline_0,Growth&Decline
221.0,Cyclic,Cyclic_Up-Trend_Stable,Oscillation
222.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
223.0,Growth&Decline,Growth&Decline_1,Growth&Decline
224.0,3,3_0,Negative_Exponential_Growth
225.0,Growth&Decline,Growth&Decline_1,Growth&Decline
226.0,Growth&Decline,Growth&Decline_0,Growth&Decline
227.0,2,2_1,Positive_Exponential_Growth
228.0,Linear,Linear_0,Linear_Growth
229.0,Cyclic,Cyclic_No-Trend_Dampening,Oscillation
230.0,Cyclic,Cyclic_Down-Trend_Stable,Oscillation
231.0,Cyclic,Cyclic_No-Trend_Diverging,Oscillation
232.0,Cyclic,Cyclic_Down-Trend_Diverging,Oscillation
233.0,Growth&Decline,Growth&Decline_1,Growth&Decline
234.0,Growth&Decline,Growth&Decline_0,Growth&Decline
